# Ghidra program: NewWorld 3-26
# Query: ^class Javelin::[A-Za-z0-9_:]+DataManager$
# class|module-relative RTTI0
Javelin::AbilityDataManager|NewWorld+0xa1857f8
Javelin::LeaderboardStatDataManager|NewWorld+0xa17ff80
Javelin::LevelDisparityDataManager|NewWorld+0xa1ad070
Javelin::LootBucketDataManager|NewWorld+0xa19b850
Javelin::LootLimitDataManager|NewWorld+0xa1c8858
Javelin::LootTagPresetDataManager|NewWorld+0xa219c08
Javelin::LoreDataManager|NewWorld+0xa1ab718
Javelin::LoreItemDataManager|NewWorld+0xa211738
Javelin::ManaDataManager|NewWorld+0xa219f68
Javelin::MissionDataManager|NewWorld+0xa180778
Javelin::MissionWeightsDataManager|NewWorld+0xa1d6ca8
Javelin::MountDataManager|NewWorld+0xa184118
Javelin::MountDyeItemDataManager|NewWorld+0xa2117a8
Javelin::MountHitVolumeDataManager|NewWorld+0xa1d1de8
Javelin::MountItemAppearanceDataManager|NewWorld+0xa1c8890
Javelin::MountMovementDataManager|NewWorld+0xa1d1db0
Javelin::MountTypeDataManager|NewWorld+0xa1b47a0
Javelin::MusicalInstrumentSlotDataManager|NewWorld+0xa1d54b0
Javelin::MusicalRankingDataManager|NewWorld+0xa1d4350
Javelin::MusicalRewardsDataManager|NewWorld+0xa182000
Javelin::MusicalScoringDataManager|NewWorld+0xa1d5478
Javelin::MutationDifficultyStaticDataManager|NewWorld+0xa176900
Javelin::NotificationDataManager|NewWorld+0xa1ac4b0
Javelin::NPCDataManager|NewWorld+0xa1cca08
Javelin::ObjectivesDataManager|NewWorld+0xa1807b0
Javelin::OpenWorldPvpBalanceDataManager|NewWorld+0xa2121f8
Javelin::OprPvpBalanceDataManager|NewWorld+0xa212238
Javelin::OutPostRush_NoPerksPvpBalanceDataManager|NewWorld+0xa2122b0
Javelin::ParticleDataManager|NewWorld+0xa214780
Javelin::ParticlePriorityOverrideDataManager|NewWorld+0xa2147c0
Javelin::PCG::DungeonClusterStaticDataManager|NewWorld+0xa1b4380
Javelin::PCG::DungeonGrammarStaticDataManager|NewWorld+0xa1b43d0
Javelin::PCG::DungeonRoomStaticDataManager|NewWorld+0xa1b3f00
Javelin::PCG::DungeonTileStaticDataManager|NewWorld+0xa1ae6a8
Javelin::PerkBucketDataManager|NewWorld+0xa17f348
Javelin::PerkDataManager|NewWorld+0xa167b10
Javelin::PerkExclusiveLabelDataManager|NewWorld+0xa212100
Javelin::PlayerDataManager|NewWorld+0xa176a38
Javelin::PlayerMilestoneModalDataManager|NewWorld+0xa219eb8
Javelin::PlayerTeleportDataManager|NewWorld+0xa250a98
Javelin::PlayerTutorialsConditionDataManager|NewWorld+0xa1dfef0
Javelin::PlayerTutorialsContentDataManager|NewWorld+0xa1dff40
Javelin::PlayerTutorialsDataManager|NewWorld+0xa1dff80
Javelin::PostSkillCapProgressionDataManager|NewWorld+0xa1e7aa0
Javelin::ProgressionPointDataManager|NewWorld+0xa1e92f0
Javelin::ProgressionPoolDataManager|NewWorld+0xa1e7ae8
Javelin::PromotionMutationStaticDataManager|NewWorld+0xa1b23b0
Javelin::PugActivityInfoDataManager|NewWorld+0xa219b50
Javelin::PugRewardsDataManager|NewWorld+0xa219b18
Javelin::PvpBalanceDataManager|NewWorld+0xa1b2488
Javelin::PvpRankDataManager|NewWorld+0xa1cc860
Javelin::QuickCourseDataManager|NewWorld+0xa13c410
Javelin::RecipeDataManager|NewWorld+0xa17d420
Javelin::ReplicationDataManager|NewWorld+0xa1f2438
Javelin::ResourceItemDataManager|NewWorld+0xa211690
Javelin::ReusableScoreboardDataManager|NewWorld+0xa1ea060
Javelin::RewardDataManager|NewWorld+0xa1ad040
Javelin::RewardMilestoneDataManager|NewWorld+0xa219ca8
Javelin::RewardModifierDataManager|NewWorld+0xa1ac440
Javelin::RewardTrackDataManager|NewWorld+0xa1cc950
Javelin::RewardTrackItemDataManager|NewWorld+0xa1cc910
Javelin::RotationalQueueDataManager|NewWorld+0xa1b2448
Javelin::ScheduleDataManager|NewWorld+0xa13c4c8
Javelin::SeasonsRewardsActivitiesConfigDataManager|NewWorld+0xa1ebd90
Javelin::SeasonsRewardsActivitiesTasksDataManager|NewWorld+0xa1830f0
Javelin::SeasonsRewardsBattlePassDataManager|NewWorld+0xa1830a0
Javelin::SeasonsRewardsCardDataManager|NewWorld+0xa1ebcf8
Javelin::SeasonsRewardsCardTemplateDataManager|NewWorld+0xa1ebd40
Javelin::SeasonsRewardsChapterDataManager|NewWorld+0xa183058
Javelin::SeasonsRewardsDataManager|NewWorld+0xa1ed550
Javelin::SeasonsRewardsJourneyDataManager|NewWorld+0xa183018
Javelin::SeasonsRewardsSeasonDataManager|NewWorld+0xa1eb1c8
Javelin::SeasonsRewardsTaskDataManager|NewWorld+0xa1ebdd8
Javelin::SeasonsTrackedStatDataManager|NewWorld+0xa1edbc8
Javelin::SectorDataManager|NewWorld+0xa13c498
Javelin::ShopDataManager|NewWorld+0xa1cd338
Javelin::SimpleTreeCategoryDataManager|NewWorld+0xa1d06b0
Javelin::SocialDataManager|NewWorld+0xa1a5fd0
Javelin::SongBookDataManager|NewWorld+0xa181f90
Javelin::SongBookSheetDataManager|NewWorld+0xa181fc8
Javelin::SpellDataManager|NewWorld+0xa169bf8
Javelin::StaticBackstoryDataManager|NewWorld+0xa1768b8
Javelin::StaticGearScoreUpgradeDataManager|NewWorld+0xa19cb20
Javelin::StatModifierDataManager|NewWorld+0xa1c7a08
Javelin::StatMultiplierDataManager|NewWorld+0xa1fda08
Javelin::StatusEffectCategoryDataManager|NewWorld+0xa193bc8
Javelin::StatusEffectDataManager|NewWorld+0xa17ccc8
Javelin::StoreCategoryDataManager|NewWorld+0xa2129a0
Javelin::StoreProductDataManager|NewWorld+0xa19cae0
Javelin::StoryProgressDataManager|NewWorld+0xa219fd8
Javelin::StructureDataManager|NewWorld+0xa1db030
Javelin::TerritoryDefinitionsDataManager|NewWorld+0xa13c358
Javelin::TerritoryLandmarkDataManager|NewWorld+0xa13c398
Javelin::TerritoryProgressionDataManager|NewWorld+0xa1898a0
Javelin::ThrowableItemDataManager|NewWorld+0xa211658
Javelin::TitleDataManager|NewWorld+0xa1d06f0
Javelin::TradeskillBonusDataManager|NewWorld+0xa212960
Javelin::TradeskillRankDataManager|NewWorld+0xa19b7b0
Javelin::TwitchDropsStatDataManager|NewWorld+0xa1f9668
Javelin::UiDataManager|NewWorld+0xa176888
Javelin::VariationDataManager|NewWorld+0xa20b390
Javelin::VitalsBaseDataManager|NewWorld+0xa219ae0
Javelin::VitalsCategoryDataManager|NewWorld+0xa1ac3d0
Javelin::VitalsDataManager|NewWorld+0xa1ac3a0
Javelin::VitalsLevelDataManager|NewWorld+0xa1ae630
Javelin::VitalsModifierDataManager|NewWorld+0xa219aa8
Javelin::VoiceOverDataManager|NewWorld+0xa219ce8
Javelin::WarPvpBalanceDataManager|NewWorld+0xa212270
Javelin::WeaponAccessoryDataManager|NewWorld+0xa1c4d00
Javelin::WeaponAppearanceDataManager|NewWorld+0xa196428
Javelin::WeaponEffectDataManager|NewWorld+0xa1c8908
Javelin::WeaponItemDataManager|NewWorld+0xa1ac478
Javelin::WeaponRefDataManager|NewWorld+0xa2130d0
Javelin::WeaponTierDataManager|NewWorld+0xa213108
Javelin::WhisperDataManager|NewWorld+0xa182038
Javelin::WorldEventCategoriesDataManager|NewWorld+0xa1e46e0
Javelin::WorldEventRuleDataManager|NewWorld+0xa1e4720
